CRS Subject,CRS Course Number,Academic Year,Academic Term,# of Sections,Number Enrolled,Enrollment Ratio,Ratio Pred. from Lin. Reg. Using All Data,Ratio Pred. from Lin. Reg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using All Data,Ratio Pred. from Avg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using Most Rcnt. Yr.
,,2020-2021,Fall,1,3,0.001,0,0,0,0,0
,,2021-2022,Fall,1,5,0.001,0,0,0,0,0
,,2022-2023,Fall,1,7,0.002,0,0,0,0,0
,,2023-2024,Fall,1,3,0.001,0.002,0.003,0.001,0.001,0.002
,5550,2014-2015,Spring,1,1,0,0,0,0,0,0
,,2015-2016,Spring,1,2,0.001,0,0,0,0,0
,,2016-2017,Spring,1,4,0.001,0,0,0,0,0
,,2017-2018,Spring,1,2,0.001,0,0,0,0,0
,,2018-2019,Spring,1,2,0.001,0,0,0,0,0
,,2019-2020,Spring,1,2,0.001,0,0,0,0,0
,,2020-2021,Spring,1,3,0.001,0,0,0,0,0
,,2021-2022,Spring,1,5,0.002,0,0,0,0,0
,,2022-2023,Spring,1,7,0.002,0,0,0,0,0
,,2023-2024,Spring,1,3,0.001,0.002,0.003,0.001,0.002,0.002
,5560,2014-2015,Spring,1,2,0.001,0,0,0,0,0
,,2015-2016,Spring,1,2,0.001,0,0,0,0,0
,,2016-2017,Spring,1,3,0.001,0,0,0,0,0
,,2017-2018,Spring,1,2,0.001,0,0,0,0,0
,,2018-2019,Spring,1,1,0,0,0,0,0,0
,,2019-2020,Spring,1,2,0.001,0,0,0,0,0
,,2020-2021,Spring,1,3,0.001,0,0,0,0,0
,,2021-2022,Spring,1,5,0.002,0,0,0,0,0
,,2022-2023,Spring,1,7,0.002,0,0,0,0,0
,,2023-2024,Spring,1,3,0.001,0.002,0.003,0.001,0.002,0.002
,5580,2022-2023,Fall,1,4,0.001,0,0,0,0,0
,,2023-2024,Fall,1,1,0,-1,-1,-1,-1,-1
,5585,2015-2016,Spring,1,3,0.001,0,0,0,0,0
,,2016-2017,Spring,1,2,0.001,0,0,0,0,0
,,2017-2018,Spring,1,4,0.001,0,0,0,0,0
,,2019-2020,Spring,1,1,0,0,0,0,0,0
,,2023-2024,Spring,1,1,0,0,0,0.001,0.001,0
,5599,2014-2015,Fall,1,2,0,0,0,0,0,0
,,,Spring,1,1,0,0,0,0,0,0
,,2015-2016,Spring,1,1,0,0,0,0,0,0
,,2016-2017,Fall,1,2,0,0,0,0,0,0
,,,Spring,1,1,0,0,0,0,0,0
,,2017-2018,Fall,1,1,0,0,0,0,0,0
,,,Spring,1,3,0.001,0,0,0,0,0
,,2018-2019,Fall,1,4,0.001,0,0,0,0,0
,,2019-2020,Fall,1,2,0.001,0,0,0,0,0
,,2020-2021,Fall,2,4,0.001,0,0,0,0,0
,,2021-2022,Fall,3,6,0.002,0,0,0,0,0
,,,Spring,1,3,0.001,0,0,0,0,0
,,2022-2023,Fall,2,9,0.003,0,0,0,0,0
,,,Spring,1,3,0.001,0,0,0,0,0
,,2023-2024,Fall,2,10,0.003,0.002,0.003,0.001,0.002,0.003
,,,Spring,1,3,0.001,0.001,0.001,0.001,0.001,0.001
,6601,2015-2016,Fall,1,1,0,0,0,0,0,0
,,2018-2019,Fall,1,2,0.001,0,0,0,0,0
,,2019-2020,Fall,1,1,0,-1,-1,-1,-1,-1
,6610,2014-2015,Spring,1,1,0,0,0,0,0,0
,,2015-2016,Spring,1,2,0.001,0,0,0,0,0
,,2016-2017,Spring,1,4,0.001,0,0,0,0,0
,,2017-2018,Spring,1,2,0.001,0,0,0,0,0
,,2018-2019,Spring,1,1,0,0,0,0,0,0
,,2019-2020,Spring,1,2,0.001,0,0,0,0,0
,,2020-2021,Spring,1,3,0.001,0,0,0,0,0
,,2021-2022,Spring,1,5,0.002,0,0,0,0,0
,,2022-2023,Spring,1,7,0.002,0,0,0,0,0
,,2023-2024,Spring,1,3,0.001,0.002,0.003,0.001,0.002,0.002
,6650,2015-2016,Fall,1,1,0,0,0,0,0,0
,,2016-2017,Fall,1,2,0,0,0,0,0,0
,,2017-2018,Fall,1,4,0.001,0,0,0,0,0
,,2018-2019,Fall,1,2,0.001,0,0,0,0,0
,,2019-2020,Fall,1,1,0,0,0,0,0,0
,,2020-2021,Fall,1,2,0.001,0,0,0,0,0
,,2021-2022,Fall,1,3,0.001,0,0,0,0,0
,,2022-2023,Fall,1,5,0.001,0,0,0,0,0
,,2023-2024,Fall,1,7,0.002,0.001,0.002,0.001,0.001,0.001
,6670,2015-2016,Fall,1,3,0.001,0,0,0,0,0
,,2017-2018,Fall,1,2,0.001,-1,-1,-1,-1,-1
ART,1111,2012-2013,Fall,1,15,0.003,-1,-1,-1,-1,-1
,,,Spring,1,8,0.002,-1,-1,-1,-1,-1
,1120,2012-2013,Fall,7,177,0.037,0,0,0,0,0
,,,Spring,6,131,0.031,0,0,0,0,0
,,2013-2014,Fall,6,160,0.036,0,0,0,0,0
,,,Spring,6,175,0.043,0,0,0,0,0
,,2014-2015,Fall,7,151,0.036,0,0,0,0,0
,,,Spring,6,168,0.045,0,0,0,0,0
