CRS Subject,CRS Course Number,Academic Year,Academic Term,# of Sections,Number Enrolled,Enrollment Ratio,Ratio Pred. from Lin. Reg. Using All Data,Ratio Pred. from Lin. Reg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using All Data,Ratio Pred. from Avg. Using 3 Rcnt. Yrs.,Ratio Pred. from Avg. Using Most Rcnt. Yr.
,,2017-2018,Fall,1,7,0.002,0,0,0,0,0
,,2018-2019,Fall,1,15,0.004,0,0,0,0,0
,,2019-2020,Fall,1,32,0.008,0.004,0.002,0.003,0.003,0.004
,4406,2012-2013,Fall,1,22,0.005,0,0,0,0,0
,,2013-2014,Fall,1,24,0.005,0,0,0,0,0
,,2014-2015,Fall,1,20,0.005,0,0,0,0,0
,,2015-2016,Fall,1,20,0.005,0,0,0,0,0
,,2016-2017,Fall,1,9,0.002,0,0,0,0,0
,,2017-2018,Fall,1,17,0.004,0,0,0,0,0
,,2018-2019,Fall,1,14,0.004,0,0,0,0,0
,,2020-2021,Fall,1,28,0.007,0,0,0,0,0
,,2022-2023,Fall,1,6,0.002,0.005,0.008,0.005,0.005,0.007
,4407,2012-2013,Spring,1,9,0.002,0,0,0,0,0
,,2013-2014,Spring,1,17,0.004,0,0,0,0,0
,,2014-2015,Spring,1,17,0.005,0,0,0,0,0
,,2015-2016,Spring,1,18,0.005,0,0,0,0,0
,,2016-2017,Spring,1,7,0.002,0,0,0,0,0
,,2017-2018,Spring,1,16,0.004,0,0,0,0,0
,,2018-2019,Spring,1,14,0.004,0,0,0,0,0
,,2020-2021,Spring,1,28,0.008,0,0,0,0,0
,,2022-2023,Spring,1,6,0.002,0.006,0.009,0.004,0.006,0.008
,4408,2012-2013,Spring,2,12,0.003,0,0,0,0,0
,,2013-2014,Spring,3,12,0.003,0,0,0,0,0
,,2014-2015,Spring,3,12,0.003,0,0,0,0,0
,,2015-2016,Spring,3,18,0.005,0,0,0,0,0
,,2016-2017,Spring,2,15,0.004,0,0,0,0,0
,,2017-2018,Spring,1,6,0.002,0,0,0,0,0
,,2018-2019,Spring,1,12,0.003,0,0,0,0,0
,,2019-2020,Spring,1,8,0.002,0,0,0,0,0
,,2020-2021,Spring,1,14,0.004,0,0,0,0,0
,,2021-2022,Spring,1,3,0.001,0,0,0,0,0
,,2022-2023,Spring,1,6,0.002,0,0,0,0,0
,,2023-2024,Spring,1,4,0.001,0.002,0,0.003,0.002,0.002
